Image,BLIP,ViT,BLIP-2
card_35.png,rainbow over a child with yellow rain coat in a boat,a stuffed animal with a hat on top of it ,"the cover to teddy bears in the rain
"
card_31.png,starr gazing lady holding a ring and looking at a fruit,a painting of a painting of a person holding a ball ,"a painting of an old woman holding an orange
"
card_36.png,smiling girl and brown bear on orange painting,a person holding a teddy bear in front of a painting ,"a book cover showing a woman with a child and a teddy bear
"
card_33.png,animated painting of a boy and a bald man walking in a forest,a painting of a boy holding a teddy bear ,"the cover to a children's book called the big rock
"
card_32.png,there is a painting of a woman working on something with a hammer,a woman is painting a mural on a wall ,"gretel by james hughart
"
card_43.png,##raff on a bicycle on a wire above a city under a full moon,a painting of a person riding a bike ,"alice in wonderland and the moon by nancy kimber
"
card_37.png,painting of a sun that has been above many umbrellas in the sky,a painting of a rainbow colored umbrella ,"a painting of umbrellas and a sun above them
"
card_40.png,ang woman in the jail with cell phone on her hand,a painting of a woman holding a bird in her hand ,"a painting with an image of a woman behind bars
"
card_38.png,a painting of a man in a yellow suit with a stick standing in front of a mountain with trees,a painting of a person holding a flower ,"a painting with a man dressed in leaves walking across the desert
"
card_45.png,illustration of a cartoon scene of an old woman dressed in green with a microphone,a painting of a stuffed animal with a cat on it ,"mrs grumpy by robert kimball
"
card_46.png,this is a painting of a man standing underneath a tree,a painting of a person holding a bird ,"a painting depicting an eagle in the sky
"
card_42.png,painting of a woman wearing a frog costume sitting in a chair holding an umbrella,an umbrella sitting on top of a table ,"an oil painting of a frog dressed as a lady in white holding an umbrella
"
card_44.png,painting of a cartoon octopus with a small house in his tentacles,a painting of a cartoon character on a blue background ,"an art book cover of an octopus
"
card_41.png,doll dressed in red dress with wires hanging from her head,a woman standing next to a painting on a wall ,"a painting of a woman in a red dress with string
"
card_39.png,shadows on the wall of a child's room are cast onto the wall,a painting of two children and a painting of an elephant ,"a book cover with a young boy and girl walking in front of a monster
"
card_48.png,several drops of water with various icons that are hanging from them,a table topped with a bunch of different colored vases ,"the pain of loss, by alexander kennedy
"
card_53.png,drawn illustration of snail with a bow and a bow on its back,a painting of a kite with a bird on it ,"oil painting of snail and a windmill with clouds in the background
"
card_50.png,photograph of a hand holding a globe with a tooth on it,a statue of a person holding a ball in their hand ,"the earth is in a person's hand and is on fire
"
card_54.png,illustrated painting of a woman carrying a rifle in a mountainous area,a woman in a costume holding a baseball bat ,"a painting depicting a woman holding a large stick and a bag
"
card_47.png,ghost in a forest of trees in a dark room with light shining from the top,a bird sitting on top of a tree branch ,"michael bradshaw, 'the tree house'
"
card_49.png,"young child in the water with an umbrella, flying, and two other children",a painting of a cartoon character with a bird on his head ,"two children flying over a group of animals, including a cat flying with a bird
"
card_51.png,someone is drawing a picture of a forest with many animals,a painting of a tree with a giraffe on it ,"the cover of the game is shown with music, animals, and a harp
"
card_52.png,"trees, buildings and a star are depicted in a painting",a painting of a painting of a building with a train on it ,"a painting of a colorful town and a cat
"
card_56.png,painting of a dog in overalls on a plate with a fork and knife,a cartoon character riding a surfboard on top of a table ,"a painting of a big red eye on a plate with a plate full of food
"
card_58.png,boy and dog in the mountains with bubbles at night time,a painting of a woman in a red shirt and blue shorts ,"jill o 'connor the bubbles
"
card_63.png,sandy beach scene with man in sand and sand castle on the shore,a person sitting on a bed reading a book ,"a painting of a man laying down in the sand
"
card_59.png,##fisher with toothbrush and toothbrush in mouth by a giant shark,a painting of a frog with a fish in its mouth ,"a painting of a child and dragon is next to an arrow
"
card_61.png,anime characters flying around a giant red object in the sky,a kite that is flying in the air ,"there is a bird that is on a red pillow
"
card_57.png,waxed candle on a metal bowl with a lit candle and a rope on the edge,a cake with a candle on top of it ,"a painting of a lit candle in a cup
"
card_60.png,an artistic painting of a man riding a white horse on a cliff with a rainbow,a statue of a woman riding a horse on top of a lush green field ,"a painting of a white horse next to a rainbow
"
card_62.png,an image of a painting of a person at a table with cards,a drawing of a man with a cartoon character on it ,"an artist's painting of an asian woman with many masks
"
card_55.png,finger under a magnifying glass looking at a drawing of a human hand,a hand holding a frisbee in front of a mirror ,"an image of a hand holding a magnifying glass
"
card_70.png,fireworks spewing from a large bottle of champagne at an amusement,a glass vase with a bird on top of it ,"a painting of a large bottle filled with champagne
"
card_71.png,murals showing bird flying in the sky with green tree,a statue of a bird with a fish in its mouth ,"an illustration of a bird flying in the sky
"
card_65.png,cartoon blue dragon holding a knife and a man standing next to him,a painting of a man holding a fish in his right hand ,"this painting depicts a little boy holding a sword next to a giant blue dragon
"
card_68.png,salvador - style artwork of man with bird cage head with pigeons in it,a man in a hat is looking at a bird in the water ,"a painting of a man in a hat and a bird in a cage
"
card_72.png,girl in a white dress flying over a city at night,a person jumping in the air with an upside down parasol ,"a woman is flying through the air with an umbrella above her head
"
card_69.png,moonlight painting of a little girl standing at the bottom of stairs looking at the moon,a painting of a man with a bird on his head ,"an angel and moon on a hillside
"
card_64.png,illustration of a cartoon of a woman lighting a candle,a painting of a person holding a fire hydrant ,"a painting of a man holding a light bulb and a witch inside
"
card_73.png,they are deer head mounted on a wall near a bowl of paint,a cat sitting on top of a table next to a mirror ,"a painting of a deer mounted on a wall
"
card_67.png,painting of a tree in a field with rocks and flowers,a statue of a giraffe sitting on top of a tree ,"a painting of a tree with flowers on it
"
card_66.png,eggshell with boy throwing a rock into a hole painting by watercolor,a painting of a bird on a tree ,"an illustration of a man breaking an egg
"
card_74.png,"orange fish floating in the air, and blue water",a number of colorful kites flying in the sky ,"a painting of many small fireflies on the surface
"
card_80.png,"painting of a pocket with a clock, chain and a chain",a clock on top of a wooden table ,"ocean of time by jane hart
"
card_81.png,vines are tangled together and a blue handled blue handled blue handled toothbrush,a green toothbrush in the shape of a fish ,"the snake and the leaf
"
card_75.png,this is a painting of a candle with a tooth and teeth,a painting of a person holding a vase on a table ,"a painting of a lit candle and a dog
"
card_77.png,there is a doll that is sitting in a chair,a painting of an old fashioned chair with an umbrella on it ,"a painting of a man sitting in a chair
"
card_76.png,##ng a drawing of a black bird flies through a sky filled with stars,a painting of a bird on a blue background ,"a painting of a black bird flying over the green grass
"
card_83.png,these two people are playing a game of chess on a black and white checkered floor,a woman sitting at a table with a plate of food ,"a painting of two people playing chess in the living room
"
card_79.png,they are moving up the stairs and down to the woman who is sitting,a collage of photos of a person holding a skateboard ,"a drawing of a baby sitting inside a pyramid of dominoes
"
card_78.png,an image of a painting of a red dress hanging on a hook,a table with a bunch of different colored beads on it ,"a painting of two scales with feathers on them
"
card_82.png,they are looking at a very strange man with a flying disc,a statue of a man swimming in a pool ,"bunny and the magician by person
"
card_84.png,brightly lit painting of table set with food and utensils on table,a table topped with lots of plates of food ,"a painting of a table full of food
"
card_90.png,arram is a picture of a black and white picture of a dog,a brown leather bag with a pair of scissors on it ,"the mess bag, a funny illustration by marc klose
"
card_85.png,abstract painting of a person holding a lit candle in their hand,a painting of a person flying through the air ,"a light, yellow flame is on a pen in the hand of a person
"
card_88.png,blond hair woman standing in a cage with fish on the ocean,a painting of a bird flying through the air ,"panther in an aquarium oil painting by julia michaels
"
card_95.png,illustrations of a man and woman under an umbrella and a child on a beach,a woman holding an umbrella next to a painting ,"a painting of people holding hands under an umbrella
"
card_93.png,"three children with papers flying above the ground, one girl plays with a guitar",a painting of a bird on a flower pot ,"two people sit on a floating island, one is holding notes
"
card_86.png,child painting of scarecrow in sunflower field wearing hat and holding a cane,a painting of a cartoon character with a hat on ,"a cartoon scarecrow in a field of sunflowers
"
card_91.png,anime of an old man in a chair playing a trumpet,a man in a suit holding a balloon with a cartoon character on it ,"an illustration of a old man playing the trumpet
"
card_94.png,portrait of a man with a hat sitting in a garden,a painting of a person sitting on a bench ,"a painting of a person with tattoos on their back
"
card_89.png,there is a painting of a little girl and some presents,a living room filled with dolls and toys ,"a painting of a boy and girl on a pile of presents
"
card_92.png,animated illustration of young boy looking at teddy bear while reading a book,a painting of a cartoon character with a cat on top of it ,"a cartoon boy in a graduation hat is holding a stuffed animal
"
card_87.png,wall art of masks of various shapes and colors,a pair of black and white teddy bears on a wall ,"a painting depicting a group of different mask faces
"
card_98.png,"nun standing in the doorway, holding a candle, in a room",a painting of a cat sitting on top of a table ,"a painting of a ghost in a white robe standing by a table with a plate on it
"
card_106.png,animated picture of woman sitting in a rowboat on a river,a woman is sitting on a boat in the water ,"person, the girl on the boat
"
card_102.png,graffiti painting of a man flying a kite with two children on a blanket under a tree,a man and a woman are flying a kite in a park ,"a beautiful illustration of people sitting under a tree
"
card_96.png,there is a painting of a woman riding a tub full of strawberries,a painting of a woman in a red sweater ,"alice by eden karol
"
card_97.png,paintings of a man and a dog in suits with a hat and a cane,a painting of a man with a bear on his head ,"a painting of a dog in a suit and hat
"
card_99.png,there is a painting of a woman with a boat on the water,a woman in a bikini sitting on a boat in the water ,"an oil painting of a woman asleep on a beach with a sailboat in the background
"
card_105.png,paintings of an octopus with a hat and tie sitting in front of a tree,a teddy bear wearing a hat and a cowboy hat ,"a painting of an octopus wearing a top hat and tie
"
card_101.png,clock in the middle of clouds with a sky background,a clock with a picture of a bird on it ,"an image of a coconut surrounded by clouds and lightning
"
card_103.png,frog garden with a snail and some plants on a green leaf,a cat standing on top of a lush green field ,"a cartoon of a snail and several other items on a leaf
"
card_100.png,pirates of the caribbean skeleton party game,an old fashioned toothbrush sitting on top of a pile of sandals ,"an animated illustration of a skeleton and some skeletons
"
card_104.png,##ood a paper piece with a tree drawn on it sitting on a table,a piece of paper with a picture of a tree on it ,"a painting of a tree with a flower and ink on top of an open book
"
card_108.png,there is a red ball of yarn next to a large watermelon,a red and white object with a red ribbon on it ,"a watermelon with yarn and a shadow behind it
"
card_107.png,people are flying in the sky with animated creatures around them,a painting of a group of people in a swimming pool ,"a drawing of a woman with long black hair and strings
"
