Image,BLIP,ViT,BLIP-2
card_17.png,illustrated painting of santa on a raft in a blue ocean,a painting of a boat on a table ,"the sea is rough but the little sea dog is safe
"
card_20.png,a outdated painting of a dragon with a man playing a violin and a woman dressed as a witch,a painting of a bird on a wall ,"a painting of a dragon and gold coins
"
card_24.png,they are looking at the monster eating the food in the kitchen,a painting of birds on a table ,"a painting of two green snakes on a table
"
card_23.png,artists are painting a giant white sculpture on a snowy surface,a stuffed animal is sitting on top of a snowboard ,"two children are standing under an ice ball with their hands
"
card_22.png,aboard a steam train with a bird in the basket holding a flower,a painting of a stuffed animal on top of a table ,"a painting of a bird with a flower in it
"
card_21.png,this is a painting of a magnifying piece of food,a reflection of a person's face in a mirror ,"a painting of houses and trees through a magnifying glass
"
card_27.png,artwork of an hourglass with a person laying in the sand,a man is standing in front of a large mirror ,"a painting depicting a woman sitting inside an hourglass
"
card_28.png,these pictures are a painting of a person sitting on a couch,a woman sitting on a bench in front of a wall ,"a painting of a man sleeping on a bed in a prison cell
"
card_26.png,disney painting of a rabbit dressed as a knight holding a sword,a statue of a man with a sword in the middle of a room ,"a painting of a boy in a knight outfit with a sword
"
card_25.png,there is a painting of a monkey in a costume holding a fan,a statue of a bear with a hat on ,"a painting of a monkey with a hammer
"
card_29.png,older woman with baby in pink dress holding a baby in her belly,a woman in a pink dress holding a pink cake ,"a painting of a pregnant woman wearing pink dress standing next to a small child
"
card_34.png,"grassy field with grass and flowers, man, holding up a red balloon",a person laying on the ground with an orange balloon ,"a painting shows a man laying down in the grass with a red balloon
"
card_30.png,illustration of a boy riding a fish and carrying a hat,a painting of a woman holding a colorful umbrella ,"a painting of a little boy riding an orange fish
"
card_35.png,artist ' s depiction of a little boy standing at the helm of a ship in the ocean,a stuffed animal with a hat on top of it ,"a picture of a boat with a child dressed in a yellow raincoat and a rainbow
"
card_31.png,paintings of a woman holding a mirror and planets on a bed,a painting of a painting of a person holding a ball ,"an oil painting of an old woman with an orange
"
card_36.png,someone is looking at the painting that depicts a man with a dog,a person holding a teddy bear in front of a painting ,"the little brown bear and the big blue bear by dorothy orton
"
card_33.png,upon these are a few pictures of a person with a backpack walking through a forest,a painting of a boy holding a teddy bear ,"a cartoon character is holding on to a young boy
"
card_32.png,blonde haired woman is holding an ax and slicing a dough,a woman is painting a mural on a wall ,"a painting of a woman in an apron and white dress cutting a ham
"
card_43.png,drawn woman riding a bike on a wire in front of the moon,a painting of a person riding a bike ,"a painting of a man on a bicycle in front of a full moon
"
card_37.png,sunlight shining over a mountain of umbrellas with a cloud in the sky,a painting of a rainbow colored umbrella ,"sunshine umbrellas , by rivka kornfeld, watercolor on paper
"
card_40.png,painting of a woman with her face in the blinds,a painting of a woman holding a bird in her hand ,"a painting of a woman looking into a cage
"
card_38.png,an image of a painting of a person on a mountain top,a painting of a person holding a flower ,"a painting of a man with leaves and grass on his head
"
card_45.png,woman with white hair and green cape in the background,a painting of a stuffed animal with a cat on it ,"an illustration of the woman in green and white holding a baby
"
card_46.png,surreal painting of a man holding a knife standing near a tree,a painting of a person holding a bird ,"a painting of a tree with people and an eagle
"
card_42.png,someone is sitting on a red chair with an umbrella and a frog,an umbrella sitting on top of a table ,"an illustrated painting of an umbrella in the rain
"
card_44.png,pirate octopus with lantern and pirates chest - oil on canvas,a painting of a cartoon character on a blue background ,"kraken, oil and acrylic
"
card_41.png,picture of a woman in a red dress and a man holding a string,a woman standing next to a painting on a wall ,"a painting, with a woman in a long red dress, holding a red string on a box
"
card_39.png,978 cover for the boy who walked by the shadow of a monster and a girl,a painting of two children and a painting of an elephant ,"a children's book featuring a boy and girl walking through a dark cave
"
card_48.png,"painted by a woman, a lot of red drops have different symbols on them",a table topped with a bunch of different colored vases ,"a painting of drop of water and three birds on it
"
card_53.png,snail with a bow on its head and a wind turbine in the background,a painting of a kite with a bird on it ,"a painting of a snail on a windmill with a wind blade
"
card_50.png,hand holding up a glowing blue and white globe with a teeth on top,a statue of a person holding a ball in their hand ,"the earth with hands holding it in the air
"
card_54.png,cartoon picture of a woman with a gun running on a road,a woman in a costume holding a baseball bat ,"a painting of a woman in a hat picking flowers
"
card_47.png,painting of a white sheet sitting in a forest with trees,a bird sitting on top of a tree branch ,"a painting of a baby in a white car in the woods
"
card_49.png,blue and yellow umbrella with little girl on top in ocean,a painting of a cartoon character with a bird on his head ,"little dragon children's book cover
"
card_51.png,artwork of an old tree with an antelope in it ' s mouth,a painting of a tree with a giraffe on it ,"the book cover for the new harp
"
card_52.png,"fishes flying over the water by a small town, and a star is in the sky",a painting of a painting of a building with a train on it ,"an oil painting of houses on a blue sky day
"
card_56.png,doorway - eyed person on plate with fork and knife in front of a picture of an eye,a cartoon character riding a surfboard on top of a table ,"a painting of a man standing in front of a table with a fork
"
card_58.png,cartoon painting of a person sitting on a hill with bubbles in the air,a painting of a woman in a red shirt and blue shorts ,"a drawing of a boy playing a game with bubbles
"
card_63.png,anime painting of a man with his arms on the surfboard,a person sitting on a bed reading a book ,"a painting of a man with no clothes laying on a bed
"
card_59.png,these are some pictures of a painting of a girl riding a big shark,a painting of a frog with a fish in its mouth ,"a drawing of a dragon with the face of a fairy on it
"
card_61.png,mickey mouse flying over a red pillow in the air,a kite that is flying in the air ,"a woman is holding a balloon
"
card_57.png,these are some paintings of candles that are lit on a table,a cake with a candle on top of it ,"a painting of a candle with blood dripping down the side
"
card_60.png,painting of a boy riding a white horse with a rainbow in the background,a statue of a woman riding a horse on top of a lush green field ,"a painting on a white horse riding over a rainbow
"
card_62.png,she has a lot of fun playing cards with these people,a drawing of a man with a cartoon character on it ,"a painting with a woman wearing a kimono and playing cards
"
card_55.png,somebody is looking through a magnifying glass at a picture,a hand holding a frisbee in front of a mirror ,"a person looking through the magnifying glass and holding a hand
"
card_70.png,cartoon image of an open champagne bottle with a balloon coming out of it,a glass vase with a bird on top of it ,"a painting of a bottle being opened
"
card_71.png,butterflies and birds fly through the air above a mountainous valley,a statue of a bird with a fish in its mouth ,"the story of the little brown bird
"
card_65.png,painting of a young boy holding a wand in front of a dragon,a painting of a man holding a fish in his right hand ,"a painting of a blue dragon and a little person
"
card_68.png,pigeonty cage in top of head of man on open water,a man in a hat is looking at a bird in the water ,"a painting of a man in a hat and a bird in a cage
"
card_72.png,smiling woman holding an umbrella flying over a town under a full moon,a person jumping in the air with an upside down parasol ,"a girl is flying through the rain with an umbrella
"
card_69.png,happy man and the moon above him in the night,a painting of a man with a bird on his head ,"the woman is standing on a hill with the moon
"
card_64.png,blue and black painting of a little girl in a wizard hat holding a candle,a painting of a person holding a fire hydrant ,"mitch rogers – the light bulb
"
card_73.png,animals in a kitchen with wooden floor and painting of deer ' s head,a cat sitting on top of a table next to a mirror ,"a painting of a deer head on a shelf with a cat in the corner
"
card_67.png,painting of a tree with flowers in the ground and sky,a statue of a giraffe sitting on top of a tree ,"the painting is painted
"
card_66.png,picture of a man reaching out from an egg shell,a painting of a bird on a tree ,"watercolor painting of person pushing up an egg
"
card_74.png,fireflies flying through the blue sky on a cloudy day,a number of colorful kites flying in the sky ,"painting - the rain drops fall on the blue sky - the blue sky with orange flames
"
card_80.png,this is a painting of a clock with a chain around it,a clock on top of a wooden table ,"a painting of a clock with chain and a mannequin
"
card_81.png,leaves and grass are growing in a pile with a blue toothbrush,a green toothbrush in the shape of a fish ,"the art of making art
"
card_75.png,apparatus painting with flame coming out of a candle and a tooth,a painting of a person holding a vase on a table ,"a painting of a candle lit by the flames
"
card_77.png,an oil painting of a wooden doll on a chair with a string attached to it,a painting of an old fashioned chair with an umbrella on it ,"the boy in the arm chair by paul hartman, painting on paper, acrylic on canvas, red color
"
card_76.png,there are birds flying in the sky next to a green hill,a painting of a bird on a blue background ,"the book cover for the story of the crow and the sheep
"
card_83.png,artists painting of couple playing chess on checkered tile floor in room,a woman sitting at a table with a plate of food ,"the beautiful game by chay hart
"
card_79.png,woman walking up a long staircase towards a number of blue blocks,a collage of photos of a person holding a skateboard ,"a cover image of dominos by jacob maria korsgaard
"
card_78.png,painting of two small objects hanging from a hook,a table with a bunch of different colored beads on it ,"a drawing of a person sitting on a balance scale
"
card_82.png,this is a painting of a person jumping into a small hole,a statue of a man swimming in a pool ,"the cover of a children's book has an image of a ghost and a rabbit in the room
"
card_84.png,there is a painting of a table filled with many foods,a table topped with lots of plates of food ,"a painting of food on a table
"
card_90.png,paintings of an animal in a bag with a mouth open and other objects strewn around it,a brown leather bag with a pair of scissors on it ,"a painting of a monster that is inside a bag
"
card_85.png,paintings of a man holding a burning candle over the ocean,a painting of a person flying through the air ,"a painting with a lit torch in the ocean
"
card_88.png,they all live in the dome painting,a painting of a bird flying through the air ,"painting - bird in cage by carolyn lewis
"
card_95.png,drawing of man and little girl holding an umbrella over their head,a woman holding an umbrella next to a painting ,"an oil painting of a man holding a girl under an umbrella
"
card_93.png,paintings depicting two young people and a tree with papers,a painting of a bird on a flower pot ,"a woman and a man standing on an island with paper in the air
"
card_86.png,an artist depiction of a scarecrow standing in a field of sunflowers,a painting of a cartoon character with a hat on ,"a man in a blue coat with a hat on his head stands in a field of sunflowers
"
card_91.png,smiling man in a chair with a trombone sits in the grass,a man in a suit holding a balloon with a cartoon character on it ,"a man sits in a chair with his hands in the air playing a trumpet
"
card_94.png,"carriage with lantern, bird and bird woman by john hofer",a painting of a person sitting on a bench ,"a painting of a man sitting in a chair with butterflies flying around him
"
card_89.png,painting of a child sitting on a pile of gifts with a cat in the background,a living room filled with dolls and toys ,"the girl and the stack of presents
"
card_92.png,someone is learning how to read a book with a teddy bear in the foreground,a painting of a cartoon character with a cat on top of it ,"a young boy and a teddy bear on a boat
"
card_87.png,orange and white painted masks and faces on a brown background,a pair of black and white teddy bears on a wall ,"an oil painting of several theatrical masks
"
card_98.png,ghost in the dining room with two candles and a table with dinner plates,a painting of a cat sitting on top of a table ,"a painting of a man in a white robe sitting at a table in a room
"
card_106.png,an image of a girl is floating in a boat in the water,a woman is sitting on a boat in the water ,"the girl in the wooden boat is floating in the water
"
card_102.png,illustration of two young men playing with a kite under a tree,a man and a woman are flying a kite in a park ,"a tree with two people on it
"
card_96.png,illustrated painting of a woman sitting in a bowl of strawberries,a painting of a woman in a red sweater ,"painting of a pregnant woman sitting on a blue bowl of strawberries
"
card_97.png,artwork of a dog with a top hat and glasses,a painting of a man with a bear on his head ,"a painting of a dog wearing a bow tie
"
card_99.png,she is laying on the water near a sailboat with a sun behind her,a woman in a bikini sitting on a boat in the water ,"a painting of a woman with a boat
"
card_105.png,surreal art of an octopus wearing a top hat with a tie and a cup of coffee,a teddy bear wearing a hat and a cowboy hat ,"an octopus wearing a hat and tie next to a tree
"
card_101.png,"partly cloudy sky with a half - moon, half - a coconut, and a sun, with various astrological symbols and symbols",a clock with a picture of a bird on it ,"the golden coconuts of heaven
"
card_103.png,these are some snails and a snail that are on a leaf,a cat standing on top of a lush green field ,"a cartoon scene of a snail, snail habitat and other items
"
card_100.png,fossil skeletons are arranged on a sandy surface with a variety of tools,an old fashioned toothbrush sitting on top of a pile of sandals ,"an illustration of skeleton bones on the ground
"
card_104.png,##rafed book page with ink tree and ink brush on it sitting on table,a piece of paper with a picture of a tree on it ,"an artistic drawing of a tree with a book beside it
"
card_108.png,this is a picture of a painting of a ball of yarn with a spool of red thread,a red and white object with a red ribbon on it ,"a painting of a watermelon with a string of yarn
"
card_107.png,the artwork depicts a group of cartoon characters floating in a pool,a painting of a group of people in a swimming pool ,"some girls in ghost costumes and a piano float above a musical note
"
